ID,NAME,CITY,STATE,ZIP
2945,MINIDOKA MEMORIAL HOSPITAL,RUPERT,ID,83350
2946,EDMOND -AMG SPECIALTY HOSPITAL,EDMOND,OK,73034
2947,KINDRED HOSPITAL -OKLAHOMA CITY,OKLAHOMA CITY,OK,73103
2948,DEACONESS HOSPITAL,OKLAHOMA CITY,OK,73112
2949,"INTEGRIS BAPTIST MEDICAL CENTER, INC.",OKLAHOMA CITY,OK,73112
2950,"OKLAHOMA SPINE HOSPITAL, LLC",OKLAHOMA CITY,OK,73134
2951,SELECT SPECIALTY HOSPITAL -OKLAHOMA CITY,OKLAHOMA CITY,OK,73112
2952,OU MEDICAL CENTER -THE CHILDREN'S HOSPITAL,OKLAHOMA CITY,OK,73104
2953,ST. ANTHONY HOSPITAL,OKLAHOMA CITY,OK,73102
2954,THE CHILDREN'S CENTER,BETHANY,OK,73008
2955,VALIR REHABILITATION HOSPITAL OF OKC,OKLAHOMA CITY,OK,73102
2956,SOLARA HOSPITAL MUSKOGEE,MUSKOGEE,OK,74401
2957,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,BOISE,ID,83706
2958,INTEGRIS GROVE HOSPITAL,GROVE,OK,74344
2959,INTEGRIS BASS PAVILION,ENID,OK,73701
2960,NEWMAN MEMORIAL HOSPITAL,SHATTUCK,OK,73858
2961,MCCURTAIN MEMORIAL HOSPITAL,IDABEL,OK,74745
2962,MERCY HEALTH -LOVE COUNTY,MARIETTA,OK,73448
2963,JEFFERSON COUNTY HOSPITAL,WAURIKA,OK,73573
2964,HARPER COUNTY COMMUNITY HOSPITAL,NORTH BUFFALO,OK,73834
2965,SOLARA HOSPITAL SHAWNEE,SHAWNEE,OK,74801
2966,ST. ANTHONY SHAWNEE HOSPITAL,SHAWNEE,OK,74804
2967,NORTHWEST CENTER FOR BEHAVIORAL HEALTH (NCBH),FORT SUPPLY,OK,73841
2968,CREEK NATION COMMUNITY HOSPITAL,OKEMAH,OK,74859
2969,PERRY MEMORIAL HOSPITAL,PERRY,OK,73077
2970,SOUTHWESTERN MEDICAL CENTER,LAWTON,OK,73505
2971,BRISTOW MEDICAL CENTER,BRISTOW,OK,74010
2972,"ST. JOHN SAPULPA, INC.",SAPULPA,OK,74066
2973,CARIBOU MEMORIAL HOSPITAL AND LIVING CENTER,SODA SPRINGS,ID,83276
2974,INTEGRIS BAPTIST REGIONAL HEALTH CENTER,MIAMI,OK,74354
2975,MUSCOGEE CREEK NATION PHYSICAL REHABILITATION CENTER,OKMULGEE,OK,74447
2976,CHOCTAW MEMORIAL HOSPITAL,HUGO,OK,74743
2977,CIMARRON MEMORIAL HOSPITAL,BOISE CITY,OK,73933
2978,NORMAN SPECIALTY HOSPITAL,NORMAN,OK,73069
2979,MERCY HOSPITAL WATONGA,WATONGA,OK,73772
2980,OKEENE MUNICIPAL HOSPITAL,OKEENE,OK,73763
2981,"MERCY HOSPITAL EL RENO, INC",EL RENO,OK,73036
2982,"MERCY HOSPITAL ARDMORE, INC",ARDMORE,OK,73401
2983,LOST RIVERS MEDICAL CENTER,ARCO,ID,83213
2984,CONTINUOUS CARE CENTER OF TULSA,SOUTH TULSA,OK,74104
2985,HILLCREST MEDICAL CENTER,TULSA,OK,74104
2986,"BAILEY MEDICAL CENTER, LLC",OWASSO,OK,74055
2987,SAINT FRANCIS HOSPITAL SOUTH,SOUTH TULSA,OK,74133
2988,PINNACLE SPECIALTY HOSPITAL,TULSA,OK,74137
2989,TULSA SPINE & SPECIALTY HOSPITAL,TULSA,OK,74132
2990,LAKE DISTRICT HOSPITAL,LAKEVIEW,OR,97630
2991,DUNCAN REGIONAL HOSPITAL,DUNCAN,OK,73534
2992,MEMORIAL HOSPITAL,STILWELL,OK,74960
2993,CASSIA REGIONAL MEDICAL CENTER,BURLEY,ID,83318
2994,THREE RIVERS COMMUNITY HOSPITAL,GRANTS PASS,OR,97527
2995,SKY LAKES MEDICAL CENTER,KLAMATH FALLS,OR,97601
2996,UH GEAUGA MEDICAL CENTER,CHARDON,OH,44024
2997,SOIN MEDICAL CENTER,BEAVERCREEK,OH,45431
2998,SOUTHSIDE REGIONAL MEDICAL CENTER,PETERSBURG,VA,23805
2999,WERNERSVILLE STATE HOSPITAL,WERNERSVILLE,PA,19565
3000,FAIRFIELD MEDICAL CENTER,LANCASTER,OH,43130
3001,DILEY RIDGE MEDICAL CENTER,CANAL WINCHESTER,OH,43110
3002,FIRST HOSPITAL WYOMING VALLEY,KINGSTON,PA,18704
3003,LEHIGH VALLEY HOSPITAL-MUHLENBERG,BETHLEHEM,PA,18017
3004,EAGLEVILLE HOSPITAL,EAGLEVILLE,PA,19408
3005,HORSHAM CLINIC,AMBLER,PA,19002
3006,MONTGOMERY COUNTY EMERGENCY SERVICE,NORRISTOWN,PA,19403
3007,NORRISTOWN STATE HOSPITAL,NORRISTOWN,PA,19401
3008,VALLEY FORGE MEDICAL CENTER & HOSPITAL,NORRISTOWN,PA,19403
3009,GEISINGER HEALTHSOUTH REHABILITATION HOSPITAL,DANVILLE,PA,17822
3010,ALLIED SERVICES REHABILITATION HOSPITAL,SCRANTON,PA,18501
3011,MARY BENNETT MURRAY INFIRMARY - THE CITADEL,CHARLESTON,SC,29409
3012,RALPH H JOHNSON VETERANS AFFAIRS MEDICAL CENTER,CHARLESTON,SC,29401
3013,ROXBURY TREATMENT CENTER,SHIPPENSBURG,PA,17257
3014,PENN STATE HERSHEY REHABILITATION HOSPITAL,HUMMELSTOWN,PA,17036
3015,PENNSYLVANIA PSYCHIATRIC INSTITUTE,HARRSIBURG,PA,17110
3016,HEALTHSOUTH REHABILITATION HOSPITAL OF MECHANICSBURG,MECHANICSBURG,PA,17055
3017,HEALTHSOUTH REHABILITATION HOSPITAL OF ERIE,ERIE,PA,16507
3018,ERIE VETERANS AFFAIRS MEDICAL CENTER,ERIE,PA,16504
3019,SPECIALTY HOSPITAL OF LORAIN,AMHERST,OH,44001
3020,TOLEDO HOSPITAL THE,TOLEDO,OH,43606
3021,LEE CORRECTIONAL INSTITUTION INFIRMARY,BISHOPVILLE,SC,29010
3022,LEXINGTON MEDICAL CENTER,WEST COLUMBIA,SC,29169
3023,SOUTH CAROLINA VOCATIONAL REHABILITATION EVALUATION CENTER,WEST COLUMBIA,SC,29170
3024,THREE RIVERS BEHAVIORAL HEALTH,WEST COLUMBIA,SC,29169
3025,FAUQUIER HOSPITAL,WARRENTON,VA,20186
3026,CUMBERLAND HOSPITAL FOR CHILDREN AND ADOLESCENTS,NEW KENT,VA,23124
3027,FAIRFAX HOSPITAL,KIRKLAND,WA,98034
3028,GROUP HEALTH COOPERATIVE/CENTRAL HOSPITAL,SEATTLE,WA,98112
3029,SWEDISH MEDICAL CENTER - REDMOND ED,REDMOND,WA,98052
3030,OTHELLO COMMUNITY HOSPITAL,OTHELLO,WA,99344
3031,WALLA WALLA GENERAL HOSPITAL,WALLA WALLA,WA,99362
3032,COMMUNITY SPECIALTY HOSPITAL,LAFAYETTE,LA,70501
3033,ST. THERESA SPECIALTY HOSPITAL - KENNER,KENNER,LA,70065
3034,ASCENSION GONZALES REHABILITATION HOSPITAL,GONZALES,LA,70737
3035,IBERIA REHABILITATION HOSPITAL,NEW IBERIA,LA,70560
3036,AVERA GREGORY HEALTHCARE CENTER,GREGORY,SD,57533
3037,ARTESIA GENERAL HOSPITAL,ARTESIA,NM,88210
3038,REHABILITATION HOSPITAL OF SOUTHERN NEW MEXICO,LAS CRUCES,NM,88011
3039,LOVELACE REHABILITATION HOSPITAL,ALBUQUERQUE,NM,87102
3040,LOVELACE WESTSIDE HOSPITAL,ALBUQUERQUE,NM,87114
3041,LOVELACE MEDICAL CENTER,ALBUQUERQUE,NM,87102
3042,CUSTER REGIONAL HOSPITAL,CUSTER,SD,57730
3043,BLACK HILLS SURGERY CENTER LIMITED LIABILITY PARTNERSHIP,RAPID CITY,SD,57701
3044,ROSEBUD COMPREHENSIVE HEALTHCARE FACILITY,ROSEBUD,SD,57570
3045,KEYSTONE TREATMENT CENTER,CANTON,SD,57013
3046,AVERA HEART HOSPITAL OF SOUTH DAKOTA,SIOUX FALLS,SD,57108
3047,AVERA DELLS AREA HOSPITAL,DELL RAPIDS,SD,57022
3048,SELECT SPECIALTY HOSPITAL,SIOUX FALLS,SD,57105
3049,AVERA MCKENNAN HOSPITAL,SIOUX FALLS,SD,57105
3050,FRANKLIN REGIONAL HOSPITAL,FRANKLIN,NH,3235
3051,HEART HOSPITAL OF LAFAYETTE,LAFAYETTE,LA,71301
3052,BUTTONWOOD HOSPITAL OF BURLINGTON COUNTY,NEW LISBON,NJ,8064
3053,SOUTH JERSEY HEALTH CARE CENTER,CAMDEN,NJ,8103
3054,VIRTUA WEST JERSEY HOSPITAL - CAMDEN,CAMDEN,NJ,8104
3055,ANCORA PSYCHIATRIC HOSPITAL,ANCORA,NJ,8037
3056,OUR LADY OF LOURDES MEDICAL CENTER,CAMDEN,NJ,8103
3057,KENNEDY MEMORIAL HOSPITAL - STRATFORD,STRATFORD,NJ,8084
3058,THE COOPER UNIVERSITY HOSPITAL,CAMDEN,NJ,8103
3059,LIGHTHOUSE AT MAYS LANDING,MAYS LANDING,NJ,8330
3060,ATLANTICARE REGIONAL MEDICAL CENTER - MAINLAND DIVISION,POMONA,NJ,8240
3061,WILLIAM B KESSLER MEMORIAL HOSPITAL,HAMMONTON,NJ,8037
3062,LIFECARE SPECIALTY HOSPITAL OF NORTH LOUISIANA,RUSTON,LA,71270
3063,BERGEN REGIONAL MEDICAL CENTER,PARAMUS,NJ,7652
3064,EAST LOUISIANA STATE HOSPITAL-JACKSON,JACKSON,LA,70748
3065,KINDRED HOSPITAL NEW JERSEY AT WAYNE HOSPITAL,WAYNE,NJ,7470
3066,SAINT MARYS HOSPITAL - PASSAIC,PASSAIC,NJ,7055
3067,SPECIALTY HOSPITAL OF WINNFIELD,WINNFIELD,LA,71483
3068,VETERANS AFFAIRS NEW JERSEY HEALTH CARE SYSTEM EAST - ORANGE CAMPUS,EAST ORANGE,NJ,7018
3069,SAINT BARNABAS MEDICAL CENTER,LIVINGSTON,NJ,7039
3070,INSPIRA HEALTH CENTER BRIDGETON,BRIDGETON,NJ,8302
3071,PALISADES MEDICAL CENTER,NORTH BERGEN,NJ,7047
3072,RUNNELLS SPECIALIZED HOSPITAL OF UNION COUNTY,BERKELEY HEIGHTS,NJ,7922
3073,SUMMIT OAKS HOSPITAL,SUMMIT,NJ,7901
3074,TRINITAS REGIONAL MEDICAL CENTER,ELIZABETH,NJ,7202
3075,KINDRED HOSPITAL NEW JERSEY - RAHWAY,RAHWAY,NJ,7065
3076,CORNERSTONE HOSPITAL OF BOSSIER CITY,BOSSIER CITY,LA,71112
3077,RARITAN BAY MEDICAL CENTER - PERTH AMBOY,PERTH AMBOY,NJ,8861
3078,WOODBRIDGE DEVELOPMENTAL CENTER,AVENEL,NJ,7001
3079,UNIVERSITY BEHAVIORAL HEALTHCARE,PISCATAWAY,NJ,8854
3080,NEW JERSEY STATE PRISON HOSPITAL,TRENTON,NJ,8611
3081,MERWICK REHABILITATION HOSPITAL AND NURSING CARE CENTER,PRINCETON,NJ,8540
3082,SAINT LAWRENCE REHABILITATION CENTER,LAWRENCEVILLE,NJ,8648
3083,SAINT FRANCIS MEDICAL CENTER,TRENTON,NJ,8629
3084,GREYSTONE PARK PSYCHIATRIC HOSPITAL,MORRIS PLAINS,NJ,7950
3085,KESSLER INSTITUTE FOR REHABILITATION - CHESTER,CHESTER,NJ,7930
3086,CHILTON MEMORIAL HOSPITAL,POMPTON PLAINS,NJ,7444
3087,K HOVNANIAN CHILDRENS HOSPITAL,NEPTUNE,NJ,7753
3088,SHORE REHABILITATION INSTITUTE,BRICK,NJ,8724
3089,SAINT BARNABAS BEHAVIORAL HEALTH CENTER,TOMS RIVER,NJ,8755
3090,MEMORIAL HOSPITAL,NORTH CONWAY,NH,3860
3091,LITTLETON REGIONAL HEALTHCARE,LITTLETON,NH,3561
3092,ALICE PECK DAY MEMORIAL HOSPITAL,LEBANON,NH,3766
3093,DARTMOUTH-HITCHCOCK MEMORIAL HOSPITAL,LEBANON,NH,3756
3094,BATON ROUGE - AMG SPECIALTY HOSPITAL,DENHAM SPRINGS,LA,70726
3095,BRENTWOOD HOSPITAL,SHREVEPORT,LA,71101
3096,SPEARFISH REGIONAL SURGERY CENTER,SPEARFISH,SD,57783
3097,UPPER CONNECTICUT VALLEY HOSPITAL,COLEBROOK,NH,3576
3098,WEEKS MEDICAL CENTER,LANCASTER,NH,3584
3099,MILDRED MITCHELL-BATEMAN HOSPITAL,HUNTINGTON,WV,25709
3100,WELCH COMMUNITY HOSPITAL,WELCH,WV,24801
3101,SALEM TOWNSHIP HOSPITAL,SALEM,IL,62881
3102,PLUM CREEK SPECIALTY HOSPITAL,AMARILLO,TX,79124
3103,HEALTHSOUTH REHABILITATION HOSPITAL OF ARLINGTON,ARLINGTON,TX,76015
3104,TEXAS HEALTH HEART & VASCULAR HOSPITAL  ARLINGTON,ARLINGTON,TX,76012
3105,AUSTIN STATE HOSPITAL,AUSTIN,TX,78751
3106,AUSTIN LAKES HOSPITAL,AUSTIN,TX,78705
3107,HEALTHSOUTH REHABILITATION HOSPITAL OF AUSTIN,AUSTIN,TX,78701
3108,CORNERSTONE HOSPITAL OF AUSTIN,AUSTIN,TX,78756
3109,METHODIST REHABILITATION HOSPITAL,DALLAS,TX,75237
3110,HICKORY TRAIL HOSPITAL,DE SOTO,TX,75115
3111,UNIVERSITY BEHAVIORAL HEALTH OF DENTON,DENTON,TX,76201
3112,MAYHILL HOSPITAL,DENTON,TX,76208
3113,INTEGRITY TRANSITIONAL HOSPITAL,DENTON,TX,76208
3114,HIGHLANDS REGIONAL REHABILITATION HOSPITAL,EL PASO,TX,79936
3115,MESA HILL SPECIALTY HOSPITAL,EL PASO,TX,79902
3116,UNIVERSITY BEHAVIORAL HEALTH OF EL PASO,EL PASO,TX,79902
3117,RIVERSIDE GENERAL HOSPITAL,HOUSTON,TX,77004
3118,SHRINERS HOSPITALS FOR CHILDREN,HOUSTON,TX,77030
3119,MEMORIAL HERMANN SOUTHWEST HOSPITAL,HOUSTON,TX,77074
3120,KINDRED HOSPITAL HOUSTON NORTHWEST,HOUSTON,TX,77065
3121,TEXAS SPECIALTY HOSPITAL AT HOUSTON,HOUSTON,TX,77087
3122,PLAZA SPECIALTY HOSPITAL,HOUSTON,TX,77004
3123,HEALTHBRIDGE CHILDREN'S HOSPITAL - HOUSTON,HOUSTON,TX,77082
3124,UNIVERSITY GENERAL HOSPITAL,HOUSTON,TX,77054
3125,TEXAS ORTHOPEDIC HOSPITAL,HOUSTON,TX,77030
3126,HEALTHSOUTH REHABILITATION HOSPITAL OF HUMBLE,HUMBLE,TX,77338
3127,ICON HOSPITAL,HUMBLE,TX,77338
3128,HUNTSVILLE MEMORIAL HOSPITAL,HUNTSVILLE,TX,77338
3129,FAITH COMMUNITY HOSPITAL,JACKSBORO,TX,76458
3130,MEMORIAL HERMANN KATY HOSPITAL,KATY,TX,77494
3131,OTTO KAISER MEMORIAL HOSPITAL,KENEDY,TX,78119
3132,SETON MEDICAL CENTER HAYS,KYLE,TX,78640
3133,KINGWOOD MEDICAL CENTER,KINGWOOD,TX,77339
3134,LAREDO SPECIALTY HOSPITAL,LAREDO,TX,78041
3135,LAREDO MEDICAL CENTER,LAREDO,TX,78044
3136,DEVEREUX TEXAS TREATMENT NETWORK,LEAGUE CITY,TX,77573
3137,GOOD SHEPHERD MEDICAL CENTER - LINDEN,LINDEN,TX,75563
3138,SCOTT AND WHITE HEALTHCARE - LLANO,LLANO,TX,78643
3139,SELECT SPECIALTY HOSPITAL - LONGVIEW,LONGVIEW,TX,75601
3140,BEHAVIORAL HOSPITAL OF LONGVIEW,LONGVIEW,TX,75605
3141,COVENANT CHILDREN'S HOSPITAL,LUBBOCK,TX,79408
3142,SUNRISE CANYON,LUBBOCK,TX,79408
3143,LUBBOCK HEART HOSPITAL,LUBBOCK,TX,79416
3144,WOODLAND HEIGHTS MEDICAL CENTER,LUFKIN,TX,75904
3145,SETON EDGAR B DAVIS HOSPITAL,LULING,TX,78648
