ID,NAME,CITY,STATE,ZIP
96,PECONIC BAY MEDICAL CENTER,RIVERHEAD,NY,11901
97,ST. CATHERINE OF SIENA MEDICAL CENTER,SMITHTOWN,NY,11787
98,GLENS FALLS HOSPITAL,GLENS FALLS,NY,12801
99,HUDSON VALLEY HOSPITAL CENTER,CORTLAND MANOR,NY,10566
100,COLER SPECIALTY HOSPITAL,ROOSEVELT ISLAND,NY,10044
101,QUEENS HOSPITAL CENTER,JAMAICA,NY,11432
102,NEWMAN REGIONAL HEALTH,EMPORIA,KS,66801
103,OSBORNE COUNTY MEMORIAL HOSPITAL,OSBORNE,KS,67473
104,MID AMERICA REHABILITATION HOSPITAL,SHAWNEE MISSION,KS,66211
105,MENORAH MEDICAL CENTER,OVERLAND PARK,KS,66209
106,WESLEY MEDICAL CENTER,WICHITA,KS,67214
107,"DOUGLAS COMMUNITY HOSPITAL, INC",DOUGLAS,AZ,85607
108,HAVEN SENIOR HORIZONS,PHOENIX,AZ,85007
109,SELECT SPECIALTY HOSPITAL ARIZONA INC.,SCOTTSDALE,AZ,85251
110,"RCHP-SIERRA VISTA, INC.",SIERRA VISTA,AZ,85635
111,PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS,PARAMOUNT,CA,90723
112,PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,TORRANCE,CA,90503
113,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,NORWALK,CA,90650
114,BAYSIDE CENTER FOR BEHAVIORAL HEALTH,SARASOTA,FL,34239
115,PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,31719
116,PIONEER COMMUNITY HOSPITAL OF EARLY,BLAKELY,GA,39823
117,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,WARM SPRINGS,GA,31830
118,CENTEGRA NORTHERN ILLINOIS MEDICAL CENTER - DBA CENTEGRA HOSPITAL - MCHENRY,MCHENRY,IL,60050
119,PRESENCE HOSPITALS PRV - DBA PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,ELGIN,IL,60120
120,ATLANTIC REHABILITATION INSTITUTE,MORRISTOWN,NJ,7962
121,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,BAYONNE,NJ,7002
122,CAREPOINT HEALTH-CHRIST HOSPITAL,JERSEY CITY,NJ,7306
123,CHILDREN'S SPECIALIZED HOSPITAL,NEW BRUNSWICK,NJ,8901
124,CHILDREN'S HOSPITAL MEDICAL CENTER,CINCINNATI,OH,45229
125,MARY HURLEY HOSPITAL,COALGATE,OK,74538
126,NORTHEASTERN HEALTH SYSTEM,TAHLEQUAH,OK,74464
127,CENTRA LYNCHBURG GENERAL HOSPITAL,LYNCHBURG,VA,24501
128,CHARLOTTESVILLE SURGICAL CENTER,CHARLOTTESVILLE,VA,22911
130,KAISER PERMANENTE FALLS CHURCH AMBULATORY SURGERY CENTER,FALLS CHURCH,VA,22046
131,SURGI-CENTER OF CENTRAL VIRGINIA,FREDERICKSBURG,VA,22401
132,SELECT SPECIALTY HOSPITAL-FORT WAYNE,FORT WAYNE,IN,46802
133,LOGANSPORT STATE HOSPITAL,LOGANSPORT,IN,46947
134,ST VINCENT FISHERS HOSPITAL INC,FISHERS,IN,46037
135,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,ALEXANDRIA,LA,71301
136,MILFORD VALLEY MEMORIAL HOSPITAL,MILFORD,UT,84751
137,SOUTH JORDAN HEALTH CENTER,SOUTH JORDAN,UT,84095
138,BAYNE-JONES ARMY COMMUNITY HOSPITAL,FORT POLK,LA,71459
139,IRELAND ARMY COMMUNITY HOSPITAL,FORT KNOX,KY,40121
140,NAVAL HOSPITAL PENSACOLA,PENSACOLA,FL,32512
141,THOUSAND OAKS SURGICAL HOSPITAL,THOUSAND OAKS,CA,91361
142,SUMMIT HEALTHCARE ASSOCIATION,SHOW LOW,AZ,85901
143,COBRE VALLEY REGIONAL MEDICAL CENTER,GLOBE,AZ,85501
144,GRAND RIVER MEDICAL CENTER,RIFLE,CO,81650
145,MIDDLE PARK MEDICAL CENTER-GRANBY,GRANBY,CO,80446
146,RONALD REAGAN UCLA MEDICAL CENTER,LOS ANGELES,CA,90095
147,O'CONNOR HOSPITAL,SAN JOSE,CA,95128
148,DOMINICAN HOSPITAL-SANTA CRUZ/SOQUEL,SANTA CRUZ,CA,95065
149,MELISSA MEMORIAL HOSPITAL,HOLYOKE,CO,80734
150,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT VALLEY,AZ,86301
151,VIBRA HOSPITAL OF SACRAMENTO,FOLSOM,CA,95630
152,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,LA JARA,CO,81140
153,ST ANTHONY SUMMIT MEDICAL CENTER,FRISCO,CO,80443
154,SUTTER-YUBA PSYCHIATRIC HEALTH FACILITY,YUBA CITY,CA,95991
155,KINDRED HOSPITAL-DENVER,DENVER,CO,80218
156,DECATUR MORGAN WEST,DECATUR,AL,35601
157,SAINT SIMONS BY-THE-SEA HOSPITAL,ST. SIMONS,GA,31522
158,CHATTOOGA MEDICAL CENTER,SUMMERVILLE,GA,30747
159,J. PAUL JONES HOSPITAL,CAMDEN,AL,36726
160,COOK MEDICAL CENTER,ADEL,GA,31620
161,CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,AL,35233
162,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903
163,NORTHWEST MEDICAL CENTER,WINFIELD,AL,35594
164,VAUGHAN REGIONAL MEDICAL CENTER-PARKWAY CAMPUS,SELMA,AL,36701
165,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35055
166,MADISON HOSPITAL,MADISON,AL,35758
167,WINDOM AREA HOSPITAL,WINDOM,MN,56101
168,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL,GENEVIEVE,MO,63670
169,CAROMONT REGIONAL MEDICAL CENTER,GASTONIA,NC,28053
170,ST. ALEXIUS HOSPITAL - JEFFERSON CAMPUS,ST. LOUIS,MO,63118
171,H. C. WATKINS MEMORIAL HOSPITAL,QUITMAN,MS,39355
172,LAHEY MEDICAL CENTER - PEABODY,PEABODY,MA,1960
173,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,1950
174,MILES MEMORIAL HOSPITAL,DAMARISCOTTA,ME,4543
175,ST VINCENT FRANKFORT HOSPITAL INC,FRANKFORT,IN,46041
176,HERMANN AREA DISTRICT HOSPITAL,HERMANN,MO,65041
177,REID HOSPITAL & HEALTH CARE SERVICES,RICHMOND,IN,47374
178,BRIDGTON HOSPITAL,BRIDGTON,ME,4009
179,WASHINGTON COUNTY MEMORIAL HOSPITAL,POTOSI,MO,63664
180,FRYE REGIONAL MEDICAL CENTER,HICKORY,NC,28601
181,VIDANT BEAUFORT HOSPITAL,WASHINGTON,NC,27889
182,PUNGO DISTRICT HOSPITAL CORPORATION,BELHAVEN,NC,27810
183,MS BAPTIST MEDICAL CENTER,JACKSON,MS,39202
184,JORDAN HOSPITAL,PLYMOUTH,MA,2360
185,SOUTHCOAST HOSPITALS GROUP - TOBEY HOSPITAL CAMPUS,WAREHAM,MA,2571
186,MINNESOTA VALLEY HLTH CTR INC,LESUEUR,MN,56058
187,GOLDEN VALLEY MEMORIAL HOSPITAL,CLINTON,MO,64735
188,AVERA MARSHALL REG MED CENTER,MARSHALL,MN,56258
189,SAINT ALPHONSUS MEDICAL CENTER,MEDFORD,OR,97504
190,ARBUCKLE MEMORIAL HOSPITAL,SULPHUR,OK,73086
191,FAIRVIEW REGIONAL MEDICAL CENTER,FAIRVIEW,OK,73737
192,MCBRIDE ORTHOPEDIC HOSPITAL,OKLAHOMA CITY,OK,73114
193,POWER COUNTY HOSPITAL DISTRICT,AMERICAN FALLS,ID,83211
194,THE PHYSICIANS' HOSPITAL IN ANADARKO,ANADARKO,OK,73005
195,GRAND STRAND REGIONAL MEDICAL CENTER,MYRTLE BEACH,SC,29572
196,HERITAGE MEDICAL CENTER,SHELBYVILLE,TN,37160
197,UPMC NORTHWEST - SENECA,SENECA,PA,16346
198,SCI-WAYMART FORENSIC TREATMENT CENTER,WAYMART,PA,18472
199,MEMORIAL HOSPITAL,TOWANDA,PA,18848
200,WEST PENN HOSPITAL FORBES REGIONAL CAMPUS,MONROEVILLE,PA,15146
201,UROSURGICAL CENTER OF RICHMOND - SOUTH,RICHMOND,VA,23235
202,CHESTER REGIONAL MEDICAL CENTER,CHESTER,SC,29706
203,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,BRISTOL,TN,37620
204,SPECIAL CARE HOSPITAL,NANTICOKE,PA,18634
205,HIGHLANDS MEDICAL CENTER,SPARTA,TN,38583
206,INDIANA REGIONAL MEDICAL CENTER,INDIANA,PA,15701
207,LIEBER CORRECTIONAL INSTITUTION INFIRMARY,RIDGEVILLE,SC,29472
208,RIDDLE HOSPITAL,MEDIA,PA,19063
209,MADISON COUNTY HOSPITAL INC,LONDON,OH,43140
210,DICKENSON COMMUNITY HOSPITAL,CLINTWOOD,VA,24228
211,VIRGINIA HOSPITAL CENTER,ARLINGTON,VA,22205
212,NORTH VALLEY HOSPITAL,TONASKET,WA,98855
213,NEWPORT HOSPITAL & HEALTH SERVICES,NEWPORT,WA,99156
214,PULLMAN REGIONAL HOSPITAL,PULLMAN,WA,99163
215,MARK REED HEALTH CARE CLINIC,MCCLEARY,WA,98557
216,GRAYS HARBOR COMMUNITY HOSPITAL,ABERDEEN,WA,98520
217,U.S. COAST GUARD BASE SEATTLE MEDICAL CLINIC,SEATTLE,WA,98134
218,EAST ADAMS RURAL HOSPITAL,RITZVILLE,WA,99169
219,BEACON BEHAVIORAL HOSPITAL-NEW ORLEANS,NEW ORLEANS,LA,70128
220,CHILDRENS CARE HOSPITAL,SIOUX FALLS,SD,57105
221,ST. ELIZABETH GRANT,WILLIAMSTOWN,KY,41097
222,OZARK HEALTH,CLINTON,AR,72031
223,CENTRAL LOUISIANA SURGICAL HOSPITAL,ALEXANDRIA,LA,71301
224,ALEXANDRIA VA MEDICAL CENTER,PINEVILLE,LA,71360
225,STRAITH HOSPITAL FOR SPECIAL SURGERY,SOUTHFIELD,MI,48033
226,ADVOCATE EUREKA  HOSPITAL,EUREKA,IL,61530
227,EDWARD MCCREADY MEMORIAL HOSPITAL,CRISFIELD,MD,21817
228,DOCTORS' COMMUNITY HOSPITAL,LANHAM,MD,20706
229,"LAKELAND HOSPITAL, NILES",NILES,MI,49120
230,ALLEGIANCE HEALTH,JACKSON,MI,49201
231,GOOD SAMARITAN REGIONAL HLTH CENTER,MOUNT VERNON,IL,62864
232,KNOX COUNTY HOSPITAL,BARBOURVILLE,KY,40906
233,PINCKNEYVILLE COMMUNITY HOSPITAL,PINCKNEYVILLE,IL,62274
234,SEABROOK HOUSE,SEABROOK,NJ,8302
235,THOMAS B FINAN CENTER,CUMBERLAND,MD,21502
236,ROCHELLE COMMUNITY HOSPITAL,ROCHELLE,IL,61068
237,ROSELAND COMMUNITY HOSPITAL,CHICAGO,IL,60628
238,THOREK MEMORIAL HOSPITAL,CHICAGO,IL,60613
239,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,60612
240,BEAVER DAM COM HSPTL,BEAVER DAM,WI,53916
241,FORT HEALTHCARE,FORT ATKINSON,WI,53538
242,BALDWIN AREA MED CTR,BALDWIN,WI,54002
243,MAYO CLINIC HEALTH SYSTEM-OAKRIDGE INC,OSSEO,WI,54758
244,AURORA LAKELAND MED CTR,ELKHORN,WI,53121
245,VA BUTLER HEALTHCARE,BUTLER,PA,16001
246,THOMAS E. CREEK VA MEDICAL CENTER,AMARILLO,TX,79106
247,VA MEDICAL CENTER - TOMAH,TOMAH,WI,54660
248,BOCA RATON REGIONAL HOSPITAL,BOCA RATON,FL,33486
249,ST. BERNARDS MEDICAL CENTER,JONESBORO,AR,72401
250,HARDTNER MEDICAL CENTER,OLLA,LA,71465
251,MCLAREN LAPEER REGION,LAPEER,MI,48446
252,SANFORD HOSPITAL - WEBSTER,WEBSTER,SD,57274
253,EUREKA COMMUNITY HEALTH SERVICES,EUREKA,SD,57437
254,MERCY HOSPITAL BOONEVILLE,BOONEVILLE,AR,72927
255,LITTLE RIVER MEMORIAL HOSPITAL,ASHDOWN,AR,71822
256,GRANT MEMORIAL HOSPITAL,PETERSBURG,WV,26847
257,SOUTH PENINSULA HOSPITAL,HOMER,AK,99603
258,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,99669
259,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508
260,HEART HOSPITAL OF AUSTIN,AUSTIN,TX,78756
261,HEREFORD REGIONAL MEDICAL CENTER,HEREFORD,TX,79045
262,TRIUMPH HOSPITAL NORTH HOUSTON,HOUSTON,TX,77076
263,THE CONCIERGE,HOUSTON,TX,77077
264,ALLEGIANCE HEALTH CENTER PERMIAN BASIN,MIDLAND,TX,79706
265,PARIS REGIONAL MEDICAL CENTER - SOUTH CAMPUS,PARIS,TX,75460
266,DUBUIS HOSPITAL OF PARIS,PARIS,TX,75460
267,SMITHVILLE REGIONAL HOSPITAL,SMITHVILLE,TX,78957
268,SCOTT AND WHITE CONTINUING CARE HOSPITAL,TEMPLE,TX,76502
269,TRIUMPH HOSPITAL VICTORIA,VICTORIA,TX,77901
270,WILLIAM P. CLEMENTS JR. UNIVERSITY HOSPITAL,DALLAS,TX,75235
271,CHEYENNE REGIONAL MEDICAL CENTER,CHEYENNE,WY,82001
272,RIVERTON MEMORIAL HOSPITAL,RIVERTON,WY,82501
273,WYOMING RECOVER LLC,CASPER,WY,82601
274,DEER LODGE MEDICAL CENTER,DEER LODGE,MT,59722
275,BILLINGS CLINIC,BILLINGS,MT,59101
276,VASSAR BROTHERS MEDICAL CENTER,POUGHKEEPSIE,NY,12601
277,BERTRAND CHAFFEE HOSPITAL,SPRINGVILLE,NY,14141
278,ELIZABETHTOWN COMMUNITY HOSPITAL,ELIZABETHTOWN,NY,12932
279,NATHAN LITTAUER HOSPITAL,GLOVERSVILLE,NY,12078
280,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NIAGARA FALLS,NY,14301
281,MOUNT ST. MARY'S HOSPITAL,LEWISTON,NY,14092
282,FAXTON-ST. LUKE'S HEALTHCARE - ST. LUKE'S CAMPUS,NEW HARTFORD,NY,13413
283,HELEN HAYES HOSPITAL,WEST HARVESTRAW,NY,10993
284,WESTCHESTER MEDICAL CENTER,VALHALLA,NY,10532
285,JACOBI MEDICAL CENTER,BRONX,NY,10036
286,MONTEFIORE MEDICAL CENTER - WEILER HOSPITAL,BRONX,NY,10461
287,MILLARD FILLMORE SUBURBAN HOSPITAL,BUFFALO,NY,14209
288,MEMORIAL HOSPITAL,ABILENE,KS,67410
289,CLOUD COUNTY HEALTH CENTER,CONCORDIA,KS,66901
290,VIA CHRISTI HOSPITAL PITTSBURG INC,PITTSBURG,KS,66762
291,THEDA CLARK MED CTR,NEENAH,WI,54956
292,SHRINERS HOSPITAL FOR  CHILDREN,HONOLULU,HI,96826
293,WAHIAWA GENERAL HOSPITAL,WAHIAWA,HI,96786
294,CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,AZ,85224
295,ABRAZO CENTRAL CAMPUS,PHOENIX,AZ,85015
296,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,TUCSON,AZ,85713
297,SAGE MEMORIAL HOSPITAL,GANADO,AZ,86505
298,NORTHSIDE MENTAL HEALTH,TAMPA,FL,33612
299,45TH MEDICAL GROUP - US AIR FORCE HOSPITAL,PATRICK AFB,FL,32925
300,SUNRISE REGIONAL MEDICAL CENTER,SUNRISE,FL,33325
301,THE FRIARY OF LAKEVIEW CENTER,GULF BREEZE,FL,32563
302,MURRAY MEDICAL CENTER,CHATSWORTH,GA,30705
303,PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,30214
304,ROOSEVELT WARM SPRINGS REHABILITATION HOSPITAL,WARM SPRINGS,GA,31830
305,"NOLAND HOSPITAL DOTHAN, LLC",DOTHAN,AL,36302
306,GOTTLIEB MEMORIAL HOSPITAL - DBA LOYOLA HEALTH SYSTEM AT GOTTLIEB,MELROSE PARK,IL,60160
307,HEALTHSOUTH REHABILITATION HOSPITAL OF TINTON FALLS,TINTON FALLS,NJ,7724
308,LOURDES SPECIALTY HOSPITAL OF SOUTHERN NEW JERSEY,WILLINGBORO,NJ,8046
309,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,PENNINGTON,NJ,8534
310,ADVANCED SPECIALTY HOSPITAL OF TOLEDO,TOLEDO,OH,43614
311,DRAKE CENTER INC,CINCINNATI,OH,45216
312,GRACE HOSPITAL,CLEVELAND,OH,44113
313,HILLSIDE REHABILITATION HOSPITAL,WARREN,OH,44484
314,DAYTON CHILDREN'S HOSPITAL,DAYTON,OH,45404
315,RELIANT REHABILITATION HOSPITAL DAYTON,DAYTON,OH,45408
316,OU MEDICAL CENTER,OKLAHOMA CITY,OK,73104
317,ATOKA COUNTY MEDICAL CENTER,ATOKA,OK,74525
318,RENAISSANCE HOSPITAL TERRELL,TERRELL,TX,75160
319,CAREPLEX ORTHOPAEDIC AMBULATORY SURGERY CENTER,HAMPTON,VA,23666
320,HANOVER OUTPATIENT CENTER,MECHANICSVILLE,VA,23111
321,THEDACARE MEDICAL CENTER NEW LONDON,NEW LONDON,WI,54961
322,FRANCISCAN ST FRANCIS HEALTH - CARMEL,CARMEL,IN,46032
323,HEALTHSOUTH REHABILITATION HOSPITAL OF ALEXANDRIA,ALEXANDRIA,LA,71301
324,VA MEDICAL CENTER - WEST HAVEN CAMPUS,WEST HAVEN,CT,6516
325,VA MEDICAL CENTER - PROVIDENCE,PROVIDENCE,RI,2908
326,ST JOSEPHS HOSPITAL,BREESE,IL,62230
327,MIAMI CHILDREN'S HOSPITAL,MIAMI,FL,33155
328,TALLAHASSEE MEMORIAL HOSPITAL,TALLAHASSEE,FL,32308
329,HOSP MUNICIPAL DE SAN JUAN DR RAFAEL LOPEZ NUSSA,MONACILLO URBANO,PR,936
330,NORTH CAMPUS REHABILITATION AND NURSING CENTER,LEESBURG,FL,34748
331,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,86503
332,SAN CARLOS HOSPITAL,SAN CARLOS,AZ,85550
333,CARL R. DARNALL ARMY MEDICAL CENTER,FORT HOOD,TX,76544
334,NORTHERN ARIZONA VA HEALTH CARE SYSTEM,PRESCOTT,AZ,86313
335,VA CENTRAL CALIFORNIA HEALTH CARE SYSTEM,FRESNO,CA,93703
336,VA MEDICAL CENTER - MENLO PARK DIVISION,MENLO PARK,CA,94025
337,VA EASTERN COLORADO HEALTH CARE SYSTEM,DENVER,CO,80220
338,VA MEDICAL CENTER - GRAND JUNCTION,GRAND JUNCTION,CO,81501
339,VA MEDICAL CENTER - BIRMINGHAM,BIRMINGHAM,AL,35233
340,VA MEDICAL CENTER - ATLANTA,DECATUR,GA,30033
341,SPRINGFIELD REGIONAL MEDICAL CTR-ER,SPRINGFIELD,OH,45504
342,SPRINGFIELD REGIONAL MEDICAL CTR,SPRINGFIELD,OH,45504
343,CINCINNATI CHILDREN'S LIBERTY,MIDDLETOWN,OH,45044
344,UH AHUJA MEDICAL CENTER-ER,BEACHWOOD,OH,44122
345,RILEY HOSPITAL FOR CHILDREN,INDIANAPOLIS,IN,46202
346,TAYLOR HOSPITAL-ER,RIDLEY PARK,PA,19078
347,METHODIST HOSPITAL-ER,PHILADELPHIA,PA,19148
348,ST JOSEPH MEDICAL CENTER-MAIN,READING,PA,19605
349,HUNTSVILLE HOSPITAL WOMEN & CHILDREN-ER,HUNTSVILLE,AL,35801
350,RAULERSON HOSPITAL,OKEECHOBEE,FL,34972
351,ARNOLD PALMER HOSPITAL FOR CHILDREN,ORLANDO,FL,32806
352,DR P PHILLIPS HOSPITAL,ORLANDO,FL,32819
353,UNIVERSITY BEHAVIORAL CENTER,ORLANDO,FL,32826
354,FLORIDA HOSPITAL KISSIMMEE,KISSIMMEE,FL,34744
355,LAKESIDE MEDICAL CENTER,BELLE GLADE,FL,33430
356,PALM BEACH GARDENS MEDICAL CENTER,PALM BEACH GARDENS,FL,33410
